,year,points,count
1,2002,87.5,2
2,2003,88.36363636363636,11
3,2004,88.0,103
4,2005,88.16363636363636,55
5,2006,87.41379310344827,58
6,2007,86.68852459016394,61
7,2008,88.33333333333333,9
8,2009,89.85714285714286,7
9,2010,87.80555555555556,36
10,2011,89.20344827586207,290
11,2012,88.76543209876543,567
12,2013,89.10720887245841,541
13,2014,88.64954682779457,662
14,2015,88.82627118644068,944
15,2016,88.59950248756219,1206
16,2017,88.76255319148936,1175
17,2018,89.65515436944008,1911
18,2019,90.08114674441205,2058
19,2020,90.28825314260945,2307
20,2021,89.88643216080402,995
21,2022,87.6608695652174,115
